Date,Rank_XP,User_Address,XP,ALP,PLP,EP,RP,VP,BP,EA_Flag
2024-10-31_10:48,941,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6595866,3812704,0,4355847,0,216309,3065593,1
2024-11-01_01:15,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-02_01:08,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-03_01:14,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-04_01:11,937,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6622845,3835161,0,4378304,0,217426,3078648,1
2024-11-05_01:08,926,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6830188,3912652,0,4455795,0,221263,3242288,1
2024-11-06_01:07,920,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6910582,4014075,0,4557218,0,226321,3266088,1
2024-11-07_01:08,917,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,6958166,4062306,0,4605449,0,228730,3286759,1
2024-11-08_01:08,904,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7067008,4218717,0,4761860,0,236536,3308326,1
2024-11-09_01:06,899,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7158246,4254658,0,4797801,0,238329,3379508,1
2024-11-09_20:18,883,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7257870,4372613,0,4915756,0,244217,3413314,1
2024-11-09_20:21,null,null,null,null,null,null,null,null,null,null
2024-11-10_01:10,null,null,null,null,null,null,null,null,null,null
2024-11-10_19:20,null,null,null,null,null,null,null,null,null,null
2024-11-11_01:07,null,null,null,null,null,null,null,null,null,null
2024-11-12_01:05,null,null,null,null,null,null,null,null,null,null
2024-11-13_01:06,null,null,null,null,null,null,null,null,null,null
2024-11-14_01:06,null,null,null,null,null,null,null,null,null,null
2024-11-15_01:11,null,null,null,null,null,null,null,null,null,null
